			88	73	22				Stan zbiornika 20			Stan zbiornika 21
24.05.2015	14	3	1	0	0	2100	0	0	25000	FA£SZ	0	25000
25.05.2015	15	0	1	0	0	0	0	435,7106264	24564,28937	FA£SZ	0	24564,28937
26.05.2015	14	0	1	0	0	0	0	386,0268501	24178,26252	FA£SZ	0	24178,26252
27.05.2015	10	0	1	0	0	0	0	229,3751383	23948,88739	FA£SZ	0	23948,88739
28.05.2015	12	0,1	1	0	0	70	0	0	24018,88739	FA£SZ	0	24018,88739
29.05.2015	14	0	1	0	0	0	0	377,4558791	23641,43151	FA£SZ	0	23641,43151
30.05.2015	13	0	1	0	0	0	0	332,4375347	23308,99397	FA£SZ	0	23308,99397
31.05.2015	12	0	1	0	0	0	0	290,6810052	23018,31297	FA£SZ	0	23018,31297
01.06.2015	18	4	0	0	1	2800	0	0	25000	FA£SZ	0	25000
02.06.2015	18	3	0	0	1	2100	0	0	25000	FA£SZ	0	25000
03.06.2015	22	0	0	1	0	0	12000	773,9186004	24226,0814	FA£SZ	0	12226,0814
04.06.2015	15	0	1	0	0	0	0	213,0813434	12013,00006	FA£SZ	0	12013,00006
05.06.2015	18	0	0	1	0	0	12000	275,2209512	11737,77911	PRAWDA	13262,22089	13000
06.06.2015	22	0	0	1	0	0	12000	402,4376722	12597,56233	FA£SZ	0	597,5623278
07.06.2015	14	8	1	0	0	5600	0	0	6197,562328	FA£SZ	0	6197,562328
08.06.2015	14	5,9	1	0	0	4130	0	0	10327,56233	FA£SZ	0	10327,56233
09.06.2015	12	5	1	0	0	3500	0	0	13827,56233	FA£SZ	0	13827,56233
10.06.2015	16	0	0	1	0	0	12000	265,4891967	13562,07313	FA£SZ	0	1562,073131
11.06.2015	16	0	0	1	0	0	12000	29,99180412	1532,081327	PRAWDA	23467,91867	13000
12.06.2015	18	5	0	0	1	3500	0	0	16500	FA£SZ	0	16500
13.06.2015	19	1	0	0	1	700	0	0	17200	FA£SZ	0	17200
14.06.2015	22	0	0	1	0	0	12000	532,4559971	16667,544	FA£SZ	0	4667,544003
15.06.2015	16	0	0	1	0	0	12000	89,61684486	4577,927158	PRAWDA	20422,07284	13000
16.06.2015	12	0	1	0	0	0	0	162,1199556	12837,88004	FA£SZ	0	12837,88004
17.06.2015	14	0	1	0	0	0	0	201,7467845	12636,13326	FA£SZ	0	12636,13326
18.06.2015	16	0,3	0	1	0	210	12000	0	12846,13326	FA£SZ	0	846,1332599
19.06.2015	12	3	1	0	0	2100	0	0	2946,13326	FA£SZ	0	2946,13326
20.06.2015	13	2	1	0	0	1400	0	0	4346,13326	FA£SZ	0	4346,13326
21.06.2015	12	0	1	0	0	0	0	54,19961008	4291,93365	FA£SZ	0	4291,93365
22.06.2015	12	3	1	0	0	2100	0	0	6391,93365	FA£SZ	0	6391,93365
23.06.2015	13	3	1	0	0	2100	0	0	8491,93365	FA£SZ	0	8491,93365
24.06.2015	12	0	1	0	0	0	0	105,9009159	8386,032734	FA£SZ	0	8386,032734
25.06.2015	16	0	0	1	0	0	12000	161,0118285	8225,020905	PRAWDA	16774,97909	13000
26.06.2015	16	7	0	0	1	4900	0	0	17900	FA£SZ	0	17900
27.06.2015	18	6	0	0	1	4200	0	0	22100	FA£SZ	0	22100
28.06.2015	16	0	0	1	0	0	12000	424,32	21675,68	FA£SZ	0	9675,68
29.06.2015	16	0	0	1	0	0	12000	185,773056	9489,906944	PRAWDA	15510,09306	13000
30.06.2015	19	0	0	1	0	0	12000	322,9944117	12677,00559	FA£SZ	0	677,0055883
01.07.2015	18	0	0	1	0	0	12000	15,51037385	661,4952144	PRAWDA	24338,50479	13000
02.07.2015	20	0	0	1	0	0	12000	348,8266045	12651,1734	FA£SZ	0	651,1733955
03.07.2015	22	0	0	1	0	0	12000	20,15820811	631,0151874	PRAWDA	24368,98481	13000
04.07.2015	25	0	0	1	0	0	12000	487,5	12512,5	FA£SZ	0	512,5
05.07.2015	26	0	0	1	0	0	12000	20,38333051	492,1166695	PRAWDA	24507,88333	13000
06.07.2015	22	0	0	1	0	0	12000	402,4376722	12597,56233	FA£SZ	0	597,5623278
07.07.2015	22	18	0	0	1	12600	0	0	13197,56233	FA£SZ	0	13197,56233
08.07.2015	20	3	0	0	1	2100	0	0	15297,56233	FA£SZ	0	15297,56233
09.07.2015	16	0,2	0	1	0	140	12000	0	15437,56233	FA£SZ	0	3437,562328
10.07.2015	13	12,2	1	0	0	8540	0	0	11977,56233	FA£SZ	0	11977,56233
11.07.2015	16	0	0	1	0	0	12000	229,9691967	11747,59313	PRAWDA	13252,40687	13000
12.07.2015	18	2	0	0	1	1400	0	0	14400	FA£SZ	0	14400
13.07.2015	18	12	0	0	1	8400	0	0	22800	FA£SZ	0	22800
14.07.2015	18	0	0	1	0	0	12000	522,3539214	22277,64608	FA£SZ	0	10277,64608
15.07.2015	18	0	0	1	0	0	12000	235,4635409	10042,18254	PRAWDA	14957,81746	13000
16.07.2015	16	0	0	1	0	0	12000	249,6	12750,4	FA£SZ	0	750,4
17.07.2015	21	0	0	1	0	0	12000	21,66421825	728,7357818	PRAWDA	24271,26422	13000
18.07.2015	26	0	0	1	0	0	12000	517,0405787	12482,95942	FA£SZ	0	482,9594213
19.07.2015	23	18	0	0	1	12600	0	0	13082,95942	FA£SZ	0	13082,95942
20.07.2015	19	0	0	1	0	0	12000	325,0555986	12757,90382	FA£SZ	0	757,9038227
21.07.2015	20	6	0	0	1	4200	0	0	4957,903823	FA£SZ	0	4957,903823
22.07.2015	22	0	0	1	0	0	12000	153,4805595	4804,423263	PRAWDA	20195,57674	13000
23.07.2015	20	0	0	1	0	0	12000	348,8266045	12651,1734	FA£SZ	0	651,1733955
24.07.2015	20	0	0	1	0	0	12000	17,47281573	633,7005798	PRAWDA	24366,29942	13000
25.07.2015	23	0,1	0	1	0	70	12000	0	13070	FA£SZ	0	1070
26.07.2015	16	0	0	1	0	0	12000	20,544	1049,456	PRAWDA	23950,544	13000
27.07.2015	16	0,1	0	1	0	70	12000	0	13070	FA£SZ	0	1070
28.07.2015	18	0,3	0	1	0	210	12000	0	1280	PRAWDA	23720	13000
29.07.2015	18	0	0	1	0	0	12000	297,8333762	12702,16662	FA£SZ	0	702,1666238
30.07.2015	14	0	1	0	0	0	0	11,03452113	691,1321026	FA£SZ	0	691,1321026
31.07.2015	14	0	1	0	0	0	0	10,86111406	680,2709886	FA£SZ	0	680,2709886
01.08.2015	16	0	0	1	0	0	12000	13,06120298	667,2097856	PRAWDA	24332,79021	13000
02.08.2015	22	0	0	1	0	0	12000	402,4376722	12597,56233	FA£SZ	0	597,5623278
03.08.2015	22	0	0	1	0	0	12000	18,49858401	579,0637438	PRAWDA	24420,93626	13000
04.08.2015	25	0	0	1	0	0	12000	487,5	12512,5	FA£SZ	0	512,5
05.08.2015	24	0	0	1	0	0	12000	18,0772343	494,4227657	PRAWDA	24505,57723	13000
06.08.2015	24	0	0	1	0	0	12000	458,5444798	12541,45552	FA£SZ	0	541,4555202
07.08.2015	28	0	0	1	0	0	12000	24,06695176	517,3885684	PRAWDA	24482,61143	13000
08.08.2015	28	0	0	1	0	0	12000	577,8320863	12422,16791	FA£SZ	0	422,1679137
09.08.2015	24	0	0	1	0	0	12000	14,89098203	407,2769316	PRAWDA	24592,72307	13000
10.08.2015	24	0	0	1	0	0	12000	458,5444798	12541,45552	FA£SZ	0	541,4555202
11.08.2015	26	0	0	1	0	0	12000	21,53495965	519,9205605	PRAWDA	24480,07944	13000
12.08.2015	32	0,6	0	1	0	420	24000	0	13420	PRAWDA	11580	1000
13.08.2015	31	0,1	0	1	0	70	24000	0	1070	PRAWDA	23930	1000
14.08.2015	33	0	0	1	0	0	24000	56,8711702	943,1288298	PRAWDA	24056,87117	1000
15.08.2015	31	12	0	0	1	8400	0	0	9400	FA£SZ	0	9400
16.08.2015	22	0	0	1	0	0	12000	290,9933937	9109,006606	PRAWDA	15890,99339	13000
17.08.2015	24	0,2	0	1	0	140	12000	0	13140	FA£SZ	0	1140
18.08.2015	22	0	0	1	0	0	12000	35,29068818	1104,709312	PRAWDA	23895,29069	13000
19.08.2015	19	0	0	1	0	0	12000	322,9944117	12677,00559	FA£SZ	0	677,0055883
20.08.2015	18	0	0	1	0	0	12000	15,51037385	661,4952144	PRAWDA	24338,50479	13000
21.08.2015	18	0	0	1	0	0	12000	297,8333762	12702,16662	FA£SZ	0	702,1666238
22.08.2015	18	0	0	1	0	0	12000	16,08681971	686,0798041	PRAWDA	24313,9202	13000
23.08.2015	19	0	0	1	0	0	12000	322,9944117	12677,00559	FA£SZ	0	677,0055883
24.08.2015	21	5,5	0	0	1	3850	0	0	4527,005588	FA£SZ	0	4527,005588
25.08.2015	18	18	0	0	1	12600	0	0	17127,00559	FA£SZ	0	17127,00559
26.08.2015	19	12	0	0	1	8400	0	0	25000	FA£SZ	0	25000
27.08.2015	23	0	0	1	0	0	12000	827,2809378	24172,71906	FA£SZ	0	12172,71906
28.08.2015	17	0,1	0	1	0	70	12000	0	12242,71906	FA£SZ	0	242,7190622
29.08.2015	16	14	0	0	1	9800	0	0	10042,71906	FA£SZ	0	10042,71906
30.08.2015	22	0	0	1	0	0	12000	310,8898832	9731,829179	PRAWDA	15268,17082	13000
31.08.2015	26	0	0	1	0	0	12000	517,0405787	12482,95942	FA£SZ	0	482,9594213
01.09.2015	27	2	0	0	1	1400	0	0	1882,959421	FA£SZ	0	1882,959421
02.09.2015	18	0	0	1	0	0	12000	43,13908937	1839,820332	PRAWDA	23160,17967	13000
03.09.2015	17	0	0	1	0	0	12000	273,361903	12726,6381	FA£SZ	0	726,638097
04.09.2015	16	0,1	0	1	0	70	12000	0	796,638097	PRAWDA	24203,3619	13000
05.09.2015	15	0	1	0	0	0	0	226,5695258	12773,43047	FA£SZ	0	12773,43047
06.09.2015	12	4	1	0	0	2800	0	0	15573,43047	FA£SZ	0	15573,43047
07.09.2015	13	0	1	0	0	0	0	218,9881282	15354,44235	FA£SZ	0	15354,44235
08.09.2015	11	4	1	0	0	2800	0	0	18154,44235	FA£SZ	0	18154,44235
09.09.2015	11	0	1	0	0	0	0	198,6978627	17955,74448	FA£SZ	0	17955,74448
10.09.2015	12	0	1	0	0	0	0	223,9218845	17731,8226	FA£SZ	0	17731,8226
11.09.2015	16	0,1	0	1	0	70	12000	0	17801,8226	FA£SZ	0	5801,822599
12.09.2015	18	0	0	1	0	0	12000	132,9212625	5668,901336	PRAWDA	19331,09866	13000
13.09.2015	18	0	0	1	0	0	12000	297,8333762	12702,16662	FA£SZ	0	702,1666238
14.09.2015	19	3	0	0	1	2100	0	0	2802,166624	FA£SZ	0	2802,166624
15.09.2015	16	0,1	0	1	0	70	12000	0	2872,166624	PRAWDA	22127,83338	13000
16.09.2015	18	0	0	1	0	0	12000	297,8333762	12702,16662	FA£SZ	0	702,1666238
17.09.2015	22	0,5	0	1	0	350	12000	0	1052,166624	PRAWDA	23947,83338	13000
18.09.2015	16	0	0	1	0	0	12000	249,6	12750,4	FA£SZ	0	750,4
19.09.2015	15	0	1	0	0	0	0	13,07829016	737,3217098	FA£SZ	0	737,3217098
20.09.2015	14	2	1	0	0	1400	0	0	2137,32171	FA£SZ	0	2137,32171
21.09.2015	12	0	1	0	0	0	0	26,65403851	2110,667671	FA£SZ	0	2110,667671
22.09.2015	13	0	1	0	0	0	0	29,67947001	2080,988201	FA£SZ	0	2080,988201
23.09.2015	15	0	1	0	0	0	0	36,26834691	2044,719854	FA£SZ	0	2044,719854
24.09.2015	15	0	1	0	0	0	0	35,63624675	2009,083608	FA£SZ	0	2009,083608
25.09.2015	14	0	1	0	0	0	0	31,57267059	1977,510937	FA£SZ	0	1977,510937
26.09.2015	12	0	1	0	0	0	0	24,66107579	1952,849861	FA£SZ	0	1952,849861
27.09.2015	11	0	1	0	0	0	0	21,37367186	1931,476189	FA£SZ	0	1931,476189
28.09.2015	10	0	1	0	0	0	0	18,32359201	1913,152597	FA£SZ	0	1913,152597
29.09.2015	10	0	1	0	0	0	0	18,14975916	1895,002838	FA£SZ	0	1895,002838
30.09.2015	10	0	1	0	0	0	0	17,97757542	1877,025263			1877,025263
